Rk,Name,S,C,F,Yrs,From,To,ASG,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,Pos Summary
1,Andy Abad\abadan01,-,-,F,1,2006,2006,0,5,5,3,0,0,0,0,0,0,0,0,2,0,.000,.400,.000,.400,15,
2,Ted Abernathy\abernte02,-,-,-,2,1967,1968,0,148,37,34,2,1,0,0,0,2,0,0,3,22,.029,.108,.029,.138,-59,1
3,Cal Abrams\abramca01,-,-,-,1,1952,1952,0,71,177,158,23,44,9,2,2,13,1,0,19,25,.278,.356,.399,.755,110,O
4,George Abrams\abramge01,S,C,F,1,1923,1923,0,3,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,433,-1
5,Joe Abreu\abreujo01,S,C,F,1,1942,1942,0,9,32,28,4,6,1,0,1,3,0,,4,4,.214,.313,.357,.670,96,-5-4
6,Jose Acevedo\acevejo01,S,-,-,4,2001,2004,0,67,109,93,2,7,2,0,0,4,0,0,4,55,.075,.112,.097,.209,-45,1
7,Tom Acker\ackerto01,S,C,F,4,1956,1959,0,153,96,77,10,5,0,0,0,2,0,0,12,46,.065,.200,.065,.265,-26,1
8,Bobby Adams\adamsbo03,S,-,-,10,1946,1955,0,1087,4044,3602,529,981,168,41,36,279,64,26,362,384,.272,.341,.372,.713,91,+5+4-O
9,Karl Adams\adamska01,S,-,-,1,1914,1914,0,4,2,2,0,1,0,0,0,0,0,,0,0,.500,.500,.500,1.000,195,-1
10,Sparky Adams\adamssp01,-,-,F,2,1933,1934,0,224,901,816,97,211,37,2,1,36,5,,64,40,.259,.316,.313,.628,78,5-4-6
11,Joe Adcock\adcocjo01,S,-,-,3,1950,1952,0,332,1223,1145,129,310,54,9,31,154,4,6,71,91,.271,.314,.415,.729,95,O3
12,Nathan Adcock\adcocna01,-,-,F,1,2015,2015,0,12,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
13,Jon Adkins\adkinjo01,-,-,F,1,2008,2008,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
14,Tim Adleman\adlemti01,S,C,F,2,2016,2017,0,42,55,50,2,7,3,0,0,5,0,0,0,21,.140,.140,.200,.340,-12,1
15,Troy Afenir\afenitr01,-,-,F,1,1992,1992,0,16,40,34,3,6,1,2,0,4,0,0,5,12,.176,.282,.324,.606,69,-2
16,Jeremy Affeldt\affelje01,-,-,-,1,2008,2008,0,68,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,1
17,Santo Alcala\alcalsa01,S,-,-,2,1976,1977,0,37,53,46,5,6,1,0,0,2,0,0,2,28,.130,.167,.152,.319,-10,1
18,Arismendy Alcantara\alcanar01,-,-,F,1,2017,2017,0,70,108,105,13,18,3,1,1,7,2,0,2,38,.171,.187,.248,.435,13,-O-4-6-5
19,Chuck Aleno\alenoch01,S,C,F,4,1941,1944,0,118,358,320,34,67,11,3,2,34,3,,31,35,.209,.281,.281,.563,60,5-3-6-O-4
20,Bob Allen\allenbo01,-,-,F,1,1900,1900,0,5,16,15,0,2,1,0,0,1,0,,0,4,.133,.188,.200,.388,8,-6
21,Ethan Allen\allenet01,S,-,-,5,1926,1930,0,422,1549,1441,191,425,85,22,12,153,40,,66,78,.295,.327,.409,.737,91,+O
22,Nick Allen\allenni01,-,-,F,3,1918,1920,0,95,228,206,23,56,5,4,0,14,0,0,12,24,.272,.327,.335,.662,98,2
23,Carlos Almanzar\almanca01,-,-,-,1,2002,2002,0,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,-1
24,Rafael Almeida\almeira01,S,C,F,3,1911,1913,0,102,324,285,32,77,13,6,3,46,7,5,25,40,.270,.335,.389,.725,105,5-O-6-4
25,Yonder Alonso\alonsyo01,S,-,-,2,2010,2011,0,69,127,117,11,35,6,0,5,18,0,0,10,31,.299,.354,.479,.833,123,-O-3-5
26,Dave Altizer\altizda01,-,-,F,2,1910,1911,0,40,100,85,11,23,4,1,0,4,2,,12,5,.271,.367,.341,.709,102,-6-3-4-O
27,Rogelio Alvarez\alvarro01,S,C,F,2,1960,1962,0,17,38,37,2,7,0,0,0,2,0,0,1,13,.189,.211,.189,.400,8,-3
28,Red Ames\amesre01,-,-,-,3,1913,1915,0,95,186,173,9,19,1,0,1,8,2,0,5,62,.110,.135,.133,.268,-22,1
29,Vicente Amor\amorvi01,-,-,F,1,1957,1957,0,9,6,6,0,1,0,0,0,0,0,0,0,1,.167,.167,.167,.333,-12,-1
30,Harry Anderson\anderha02,-,-,F,2,1960,1961,0,46,83,70,6,12,3,0,1,9,0,0,11,21,.171,.280,.257,.538,47,-3-O
31,Jimmy Anderson\anderji02,-,-,-,1,2003,2003,0,8,13,9,1,1,0,0,0,0,0,0,2,4,.111,.273,.111,.384,8,-1
32,Mike Anderson\andermi02,S,C,F,1,1993,1993,0,3,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,-1
33,Wingo Anderson\anderwi01,S,C,F,1,1910,1910,0,7,5,5,1,1,0,0,0,0,0,,0,0,.200,.200,.200,.400,19,-1
34,Nate Andrews\andrena01,-,-,-,1,1946,1946,0,7,18,14,0,1,1,0,0,3,0,,1,7,.071,.133,.143,.276,-21,-1
35,Eric Anthony\anthoer01,-,-,-,2,1995,1996,0,94,295,257,41,66,12,0,13,36,2,2,35,66,.257,.342,.455,.798,109,O-3
36,Pete Appleton\applepe01,S,-,-,2,1927,1928,0,38,44,42,4,16,2,1,0,4,0,,0,4,.381,.381,.476,.857,126,1-O
37,Jimmy Archer\archeji01,-,-,F,1,1918,1918,0,9,27,26,3,7,1,0,0,2,0,,1,3,.269,.296,.308,.604,85,-2-3
38,Ed Armbrister\armbred01,S,C,F,5,1973,1977,0,224,302,265,46,65,11,6,4,19,15,10,24,71,.245,.307,.377,.685,88,O
39,Jack Armstrong\armstja01,S,-,-,4,1988,1991,1,80,145,119,5,11,1,0,0,5,0,0,2,54,.092,.122,.101,.223,-38,1
40,Morrie Arnovich\arnovmo01,-,-,-,1,1940,1940,0,62,226,211,17,60,10,2,0,21,1,,13,10,.284,.326,.351,.677,86,O
41,Jose Arredondo\arredjo01,-,-,F,2,2011,2012,0,114,2,2,0,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,173,1
42,Gerry Arrigo\arrigge01,-,-,-,5,1965,1969,0,119,141,130,5,16,3,1,1,4,0,0,5,48,.123,.156,.185,.340,-4,1
43,Bronson Arroyo\arroybr01,-,-,F,9,2006,2017,1,281,641,547,28,71,14,0,6,28,1,0,13,231,.130,.151,.188,.339,-11,1
44,Luis Arroyo\arroylu01,-,-,-,1,1959,1959,0,10,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,-1
45,Casper Asbjornson\asbjoca01,-,-,F,2,1931,1932,0,74,187,176,18,46,9,1,1,26,0,,7,38,.261,.297,.341,.638,76,2
46,Ken Ash\ashke01,-,-,F,3,1928,1930,0,56,48,46,3,6,1,0,0,1,0,,1,8,.130,.149,.152,.301,-23,1-O
