Rk,Name,S,C,F,Yrs,From,To,ASG,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+
1,Ted Abernathy\abernte02,-,-,-,2,1967,1968,0,16,10,.615,1.94,148,0,114,0,0,41,241.2,174,62,52,10,96,20,152,9,0,3,989,178
2,George Abrams\abramge01,S,C,F,1,1923,1923,0,0,0,,9.64,3,0,1,0,0,0,4.2,10,5,5,0,3,,1,1,0,0,24,44
3,Jose Acevedo\acevejo01,S,-,-,4,2001,2004,0,16,21,.432,5.59,68,54,4,1,0,0,304.1,334,198,189,58,97,11,222,11,1,9,1336,78
4,Tom Acker\ackerto01,S,C,F,4,1956,1959,0,19,13,.594,4.12,153,23,35,5,1,8,380.1,365,181,174,43,150,20,256,17,0,6,1629,99
5,Karl Adams\adamska01,S,-,-,1,1914,1914,0,0,0,,9.00,4,0,4,0,0,0,8.0,14,10,8,1,5,,5,0,0,0,41,35
6,Nathan Adcock\adcocna01,-,-,F,1,2015,2015,0,1,2,.333,6.00,13,0,4,0,0,0,18.0,15,12,12,3,12,0,13,1,0,1,83,67
7,Jon Adkins\adkinjo01,-,-,F,1,2008,2008,0,1,0,1.000,2.45,4,0,0,0,0,0,3.2,4,1,1,1,3,1,3,0,0,0,15,196
8,Tim Adleman\adlemti01,S,C,F,2,2016,2017,0,9,15,.375,4.97,43,33,4,0,0,0,192.0,188,111,106,42,71,2,155,11,1,1,818,88
9,Jeremy Affeldt\affelje01,-,-,-,1,2008,2008,0,1,1,.500,3.33,74,0,20,0,0,0,78.1,78,36,29,9,25,0,80,3,0,6,335,132
10,Santo Alcala\alcalsa01,S,-,-,2,1976,1977,0,12,5,.706,4.81,37,23,5,3,1,0,147.2,153,83,79,13,74,4,76,4,3,5,656,74
11,Carlos Almanzar\almanca01,-,-,-,1,2002,2002,0,0,1,.000,2.31,8,1,4,0,0,0,11.2,6,4,3,0,5,1,7,0,0,1,45,191
12,Red Ames\amesre01,-,-,-,3,1913,1915,0,28,40,.412,2.95,95,68,20,34,6,9,552.1,541,246,181,16,188,,234,11,0,24,2323,103
13,Vicente Amor\amorvi01,-,-,F,1,1957,1957,0,1,2,.333,5.93,9,4,2,1,0,0,27.1,39,19,18,2,10,1,9,2,0,0,130,70
14,Jimmy Anderson\anderji02,-,-,-,1,2003,2003,0,1,5,.167,8.84,8,7,1,0,0,0,38.2,60,39,38,8,14,1,13,0,0,0,184,47
15,Mike Anderson\andermi02,S,C,F,1,1993,1993,0,0,0,,18.56,3,0,0,0,0,0,5.1,12,11,11,3,3,0,4,0,0,0,30,23
16,Wingo Anderson\anderwi01,S,C,F,1,1910,1910,0,0,0,,4.67,7,2,5,0,0,0,17.1,16,15,9,0,17,,11,1,0,1,80,64
17,Nate Andrews\andrena01,-,-,-,1,1946,1946,0,2,4,.333,3.95,7,7,0,3,0,0,43.1,50,29,19,2,8,,13,1,0,0,190,86
18,Pete Appleton\applepe01,S,-,-,2,1927,1928,0,5,5,.500,3.93,37,5,22,2,1,0,112.1,130,57,49,7,39,,23,2,1,3,489,101
