"Name","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Johnny Bench","2158","8673","389","1091","1376","68","10.3 %","14.7 %",".208",".273",".267",".342",".476",".362","125","-1.0","251.8","161.4","74.8","1000826"
"Ernie Lombardi","1203","4286","120","420","682","5","6.2 %","3.7 %",".158",".302",".311",".359",".469",".377","126","-0.7","140.5","16.5","28.3","1007718"
"Ed Bailey","714","2612","94","276","316","13","12.9 %","13.6 %",".176",".272",".261",".359",".437",".352","109","2.1","29.6","76.2","19.3","1000421"
"Bubbles Hargrave","766","2671","29","298","359","27","7.7 %","5.5 %",".147",".326",".314",".377",".461",".386","124","2.1","84.1","23.2","19.3","1005359"
"Heinie Peitz","817","2998","10","351","354","53","8.2 %","6.1 %",".085",".314",".279",".346",".365",".343","99","-11.5","-18.8","37.3","12.4","1010131"
"Tommy Clarke","699","1985","6","169","191","42","10.9 %","9.2 %",".093",".295",".265",".351",".358",".346","109","-3.3","15.8","22.7","11.3","1002313"
"Ray Mueller","527","1899","33","165","221","7","8.5 %","8.8 %",".118",".279",".266",".334",".384",".341","104","0.5","7.6","24.2","9.6","1009283"
"Jason LaRue","715","2544","84","263","303","12","7.7 %","25.4 %",".176",".296",".239",".325",".415",".320","88","-9.0","-48.9","60.1","9.4","337"
"Ivey Wingo","1010","3385","17","271","347","46","6.0 %","5.2 %",".092",".269",".257",".305",".350",".312","89","-3.2","-50.5","24.1","9.3","1014133"
"Johnny Edwards","751","2663","53","235","296","6","9.0 %","13.9 %",".124",".269",".246",".314",".370",".300","84","-3.7","-53.0","44.6","8.7","1003689"
"Smoky Burgess","395","1241","52","152","186","1","9.6 %","7.2 %",".196",".276",".290",".357",".486",".369","118","0.3","27.8","15.6","8.2","1001665"
"Jim Keenan","428","1698","18","207","208","41","9.4 %","12.7 %",".104",".241",".235",".314",".339",".315","94","-9.4","-24.2","42.4","8.0","1006749"
"Ryan Hanigan","474","1580","20","128","138","0","12.0 %","10.1 %",".081",".283",".262",".359",".343",".312","90","-3.8","-22.7","50.6","8.0","4952"
"Pop Snyder","296","1246","2","165","170","11","3.5 %","",".083","",".250",".278",".333",".281","97","0.7","-6.1","38.2","7.5","1012254"
"Joe Oliver","769","2648","72","210","342","6","6.7 %","16.5 %",".141",".271",".246",".298",".387",".299","80","-1.9","-64.8","49.7","7.3","1009778"
"Larry McLean","655","2289","6","156","252","13","5.1 %","4.8 %",".064",".291",".266",".307",".330",".311","89","-12.8","-43.8","24.9","6.2","1008622"
"Bo Diaz","460","1695","39","143","196","2","5.1 %","11.3 %",".120",".266",".254",".294",".375",".295","78","-2.0","-43.4","46.3","5.8","1003261"
"Eddie Taubensee","694","2324","77","281","330","8","8.1 %","17.8 %",".174",".321",".286",".343",".460",".347","104","-2.5","10.5","-25.6","5.5","1012845"
"Andy Seminick","319","1126","41","110","145","3","11.7 %","16.8 %",".173",".259",".241",".333",".413",".344","96","-0.4","-6.4","23.4","5.5","1011742"
"Don Pavletich","412","1219","39","128","151","4","8.6 %","14.1 %",".174",".279",".263",".330",".436",".336","109","0.4","13.3","-12.2","4.9","1010086"
"Devin Mesoraco","384","1300","47","128","159","4","8.7 %","20.3 %",".174",".261",".234",".310",".408",".313","94","-6.6","-16.5","17.3","4.4","5666"
"Ramon Hernandez","269","1011","24","83","121","1","8.4 %","12.3 %",".134",".299",".280",".348",".413",".335","104","-8.7","-4.4","14.6","4.4","918"
"David Ross","254","817","41","86","104","0","12.1 %","24.8 %",".230",".254",".227",".324",".457",".330","93","-2.9","-10.2","26.2","4.2","1551"
"Farmer Vaughn","654","2613","15","359","414","61","4.3 %","2.9 %",".100",".291",".284",".319",".384",".330","83","-7.5","-79.1","18.2","4.1","1013381"
"Admiral Schlei","488","1716","6","160","171","30","6.9 %","",".062","",".239",".301",".301",".297","84","-5.1","-36.2","14.0","3.8","1011566"
"Tucker Barnhart","338","1177","18","86","114","5","9.1 %","16.6 %",".111",".298",".257",".328",".368",".298","82","-11.3","-37.3","34.4","3.5","10200"
"Val Picinich","250","840","9","78","78","8","8.7 %","7.4 %",".103",".294",".278",".343",".381",".340","96","1.1","-2.6","7.4","3.1","1010309"
"Javier Valentin","441","1086","34","107","149","0","8.6 %","14.2 %",".165",".280",".264",".326",".429",".325","91","-3.7","-16.7","10.8","3.0","759"
"Ray Lamanno","442","1548","18","122","150","2","7.6 %","9.8 %",".086",".272",".252",".314",".338",".312","83","-0.2","-33.4","13.3","3.0","1007270"
"Gilly Campbell","195","585","4","57","72","5","15.4 %","3.8 %",".073",".270",".264",".379",".337",".347","105","0.7","4.5","3.5","2.6","1001878"
"Jeff Reed","329","1018","10","60","79","0","9.5 %","13.1 %",".085",".270",".241",".314",".326",".290","78","-0.8","-25.5","14.2","2.2","1010770"
