"Name","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Pete Rose","2722","12330","152","1741","1036","146","9.8 %","7.9 %",".118",".325",".307",".379",".425",".362","126","-8.8","349.7","-59.4","76.2","1011217"
"Johnny Bench","2158","8673","389","1091","1376","68","10.3 %","14.7 %",".208",".273",".267",".342",".476",".362","125","-1.0","251.8","161.4","74.8","1000826"
"Barry Larkin","2180","9057","198","1329","960","379","10.4 %","9.0 %",".150",".306",".295",".371",".444",".360","118","43.4","240.8","132.5","67.0","335"
"Bid McPhee","2135","9409","53","1678","1067","568","10.4 %","4.9 %",".101",".290",".271",".355",".372",".350","108","30.0","143.5","193.1","62.7","1008675"
"Frank Robinson","1502","6409","324","1043","1009","161","10.9 %","12.3 %",".251",".302",".303",".389",".554",".407","149","12.4","385.8","-24.4","59.6","1011066"
"Joe Morgan","1154","4973","152","816","612","406","17.7 %","8.2 %",".182",".287",".288",".415",".470",".400","150","50.8","336.3","32.1","57.2","1009179"
"Joey Votto","1430","6141","257","863","830","72","16.2 %","17.7 %",".227",".354",".313",".428",".541",".412","158","-22.6","404.2","-81.0","53.4","4314"
"Tony Perez","1948","7630","287","936","1192","39","8.8 %","17.1 %",".192",".309",".283",".346",".474",".364","127","-1.2","235.9","-33.5","49.5","1010188"
"Vada Pinson","1565","6850","186","978","814","221","6.0 %","12.1 %",".172",".316",".297",".341",".469",".357","120","14.3","173.2","-4.2","42.8","1010360"
"Edd Roush","1399","5965","47","815","763","199","5.9 %","2.8 %",".131",".336",".331",".377",".462",".391","136","-2.1","246.9","-39.3","42.0","1011247"
"Heinie Groh","1211","5159","17","663","408","158","9.9 %","5.0 %",".096",".314",".298",".378",".394",".373","132","-4.1","169.3","44.0","42.0","1005078"
"George Foster","1253","5010","244","680","861","46","9.4 %","17.6 %",".227",".306",".286",".356",".514",".383","140","0.8","228.4","8.1","42.0","1004250"
"Dave Concepcion","2488","9641","101","993","950","321","7.6 %","12.3 %",".090",".296",".267",".322",".357",".306","88","22.4","-106.5","172.3","39.7","1002494"
"Brandon Phillips","1614","6899","191","877","851","194","5.5 %","13.3 %",".149",".299",".279",".325",".429",".327","99","5.3","-7.1","98.2","31.8","791"
"John Reilly","1069","4660","69","877","724","245","3.3 %","7.4 %",".155",".283",".294",".331",".449",".358","122","14.3","166.7","2.8","31.0","1010803"
"Lonny Frey","941","4121","36","541","310","68","12.1 %","7.4 %",".100",".282",".265",".358",".365",".344","108","11.5","51.9","123.8","30.4","1004343"
"Frank McCormick","1228","5202","110","631","800","23","6.5 %","2.9 %",".137",".294",".301",".350",".437",".366","121","2.1","130.7","3.0","29.7","1008413"
"Eric Davis","985","3819","203","635","615","270","12.9 %","22.9 %",".240",".307",".271",".367",".510",".382","138","33.8","202.8","-43.5","29.3","1003048"
"Ernie Lombardi","1203","4286","120","420","682","5","6.2 %","3.7 %",".158",".302",".311",".359",".469",".377","126","-0.7","140.5","16.5","28.3","1007718"
"Ted Kluszewski","1339","5404","251","745","886","20","7.5 %","5.4 %",".210",".282",".302",".357",".512",".387","124","3.5","168.8","-88.6","25.5","1007020"
"Ken Griffey","1224","4716","71","709","466","156","9.6 %","11.6 %",".131",".333",".303",".370",".434",".363","126","12.4","151.3","-79.4","24.1","1005044"
"Jake Beckley","879","3824","26","592","570","114","6.0 %","",".118","",".325",".375",".443",".387","123","-6.1","114.6","-13.3","22.9","1000754"
"Ival Goodman","965","4020","91","554","464","45","8.3 %","8.6 %",".169",".289",".279",".349",".448",".364","118","7.3","98.4","-3.0","21.7","1004857"
"Adam Dunn","1087","4562","270","678","646","58","16.5 %","26.6 %",".273",".287",".247",".380",".520",".383","129","16.3","185.6","-116.3","21.6","319"
"Cy Seymour","556","2420","26","313","326","74","6.2 %","",".131","",".332",".378",".463",".399","137","-3.3","102.7","9.4","21.1","1011777"
"Reggie Sanders","805","3292","125","499","431","158","10.5 %","23.6 %",".206",".327",".271",".353",".476",".361","119","4.4","81.3","22.8","21.1","1129"
"Dan Driessen","1480","5487","133","661","670","152","12.4 %","11.6 %",".145",".286",".271",".361",".416",".348","116","7.7","109.9","-96.1","20.4","1003501"
"Curt Walker","953","3942","43","498","482","69","10.3 %","4.0 %",".138",".308",".303",".378",".441",".378","116","7.9","90.7","-9.3","20.3","1013510"
"Bug Holliday","928","4036","65","728","617","248","8.9 %","5.7 %",".137",".321",".311",".376",".448",".389","120","8.6","134.8","-58.3","19.6","1005957"
"Ed Bailey","714","2612","94","276","316","13","12.9 %","13.6 %",".176",".272",".261",".359",".437",".352","109","2.1","29.6","76.2","19.3","1000421"
"Bubbles Hargrave","766","2671","29","298","359","27","7.7 %","5.5 %",".147",".326",".314",".377",".461",".386","124","2.1","84.1","23.2","19.3","1005359"
"Miller Huggins","783","3373","4","441","154","150","12.8 %","",".049","",".260",".362",".310",".335","107","2.7","28.0","22.5","18.0","1006148"
"Chris Sabo","818","3332","104","443","373","116","7.5 %","12.2 %",".177",".280",".270",".328",".447",".343","113","3.7","52.1","9.3","17.9","1011357"
"Charley Jones","482","2189","30","424","294","10","7.2 %","",".146","",".301",".360",".447",".370","137","-6.7","115.6","-5.2","17.4","1006535"
"Mike Mitchell","857","3550","19","401","420","165","8.0 %","7.1 %",".104",".307",".283",".345",".387",".355","115","7.3","63.7","-24.3","17.2","1009007"
"Jay Bruce","1220","5002","233","655","718","61","9.1 %","23.9 %",".221",".286",".249",".319",".470",".337","108","5.6","55.3","-45.1","17.2","9892"
"Frank Fennelly","526","2329","28","434","314","149","10.9 %","",".131","",".254",".344",".385",".344","116","6.2","63.7","38.8","17.2","1003980"
"Bob Bescher","745","3299","11","496","219","320","12.9 %","10.6 %",".094",".301",".262",".365",".356",".355","111","37.3","80.0","-31.2","17.0","1000921"
"Lee May","761","3069","147","395","449","17","5.8 %","19.5 %",".216",".299",".274",".321",".490",".360","125","-3.3","81.3","-34.2","16.6","1008303"
"Sean Casey","1075","4478","118","588","604","15","8.6 %","10.4 %",".158",".320",".305",".371",".463",".361","113","-13.0","66.1","-48.1","15.9","314"
"Todd Frazier","633","2524","108","305","324","43","7.5 %","21.0 %",".206",".288",".257",".321",".463",".340","113","7.0","46.0","23.7","15.7","785"
"Leo Cardenas","1157","4436","72","415","413","26","6.7 %","16.4 %",".116",".301",".261",".313",".377",".302","85","-4.3","-74.5","71.1","15.5","1001938"
"Arlie Latham","696","3203","15","588","290","337","10.0 %","5.5 %",".076",".294",".279",".361",".355",".351","97","34.9","20.3","32.1","15.2","1007371"
"Zack Cozart","743","3028","82","375","280","21","6.4 %","16.2 %",".156",".280",".254",".305",".411",".309","90","3.7","-26.9","77.6","14.9","2616"
"Cesar Geronimo","1203","3736","44","404","344","72","8.7 %","17.7 %",".110",".312",".261",".330",".371",".314","93","1.5","-28.3","47.2","14.6","1004639"
"Roy McMillan","1348","4937","42","497","395","30","9.5 %","9.0 %",".084",".268",".249",".326",".332",".303","75","0.3","-156.2","145.4","14.6","1008643"
"Hal Morris","1049","3762","74","467","461","44","8.1 %","12.4 %",".140",".333",".305",".362",".444",".354","115","-1.4","66.4","-45.7","14.5","1009209"
"Paul O'Neill","799","2961","96","321","411","61","10.3 %","15.4 %",".172",".279",".259",".336",".431",".338","111","-1.7","34.4","8.1","14.3","1009818"
"Johnny Temple","984","4224","15","533","300","105","11.2 %","5.3 %",".070",".305",".291",".372",".361",".338","97","11.7","-4.5","11.8","14.2","1012910"
"Bobby Tolan","582","2534","54","346","306","140","6.3 %","13.5 %",".135",".309",".282",".335",".417",".338","109","7.2","34.0","11.8","13.9","1013100"
"Hans Lobert","597","2419","12","264","215","168","7.4 %","2.5 %",".084",".311",".269",".332",".353",".337","111","16.7","43.6","-7.4","13.8","1007684"
