"Name","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Bob Ewing","3.94","2.29","1.72","0.11","","","",".243","1.16",".273","67.3 %","83","85","","2.37","2.42","-0.05","","","1003880"
"Fred Toney","3.68","2.33","1.58","0.13","9.6 %","5.9 %","3.7 %",".230","1.12",".255","72.6 %","81","94","","2.18","2.49","-0.31","","","1013116"
"Andy Coakley","2.66","2.54","1.05","0.07","","","",".254","1.24",".274","73.2 %","86","98","","2.11","2.50","-0.39","","","1002372"
"Noodles Hahn","4.08","1.70","2.40","0.12","","","",".251","1.13",".282","66.3 %","73","77","","2.52","2.59","-0.07","","","1005205"
"Jake Weimer","3.48","3.03","1.15","0.11","","","",".232","1.19",".257","73.8 %","89","105","","2.31","2.65","-0.34","","","1013738"
"Hod Eller","3.97","2.22","1.79","0.20","10.8 %","6.1 %","4.8 %",".245","1.18",".272","71.7 %","92","93","","2.62","2.68","-0.06","","","1003729"
"Jack Rowan","3.66","3.58","1.02","0.07","","","",".240","1.29",".268","68.2 %","103","103","","2.83","2.77","0.06","","","1011250"
"George Suggs","3.14","1.91","1.65","0.18","","","",".265","1.23",".287","67.2 %","94","91","","3.03","2.84","0.19","","","1012673"
"Harry Gaspar","2.49","2.37","1.05","0.16","","","",".255","1.23",".271","69.7 %","90","102","","2.69","2.92","-0.23","","","1004560"
"Pete Schneider","3.44","3.44","1.00","0.11","8.7 %","9.0 %","-0.3 %",".249","1.33",".275","70.0 %","98","111","","2.65","2.94","-0.30","","","1011597"
"Jack Harper","3.49","3.41","1.02","0.10","","","",".258","1.36",".285","63.2 %","103","99","","3.27","3.02","0.25","","","1005380"
"Red Ames","3.81","3.06","1.24","0.28","","","",".258","1.32",".284","69.0 %","101","103","","2.95","3.05","-0.10","","","1000210"
"Jose Rijo","7.62","2.76","2.76","0.62","20.7 %","7.5 %","13.2 %",".233","1.19",".283","76.7 %","73","76","111","2.83","3.06","-0.24","4.65","4.58","349"
"Jim Maloney","7.88","3.89","2.03","0.67","21.0 %","10.3 %","10.6 %",".219","1.25",".267","75.3 %","86","87","","3.16","3.09","0.06","","","1008039"
"Dutch Ruether","3.23","3.18","1.02","0.05","8.8 %","8.6 %","0.1 %",".235","1.23",".259","74.4 %","78","105","","2.26","3.11","-0.85","","","1011291"
"Art Fromme","3.92","3.32","1.18","0.20","","","",".235","1.23",".261","68.7 %","89","102","","2.74","3.11","-0.37","","","1004375"
"Clay Carroll","4.84","3.23","1.50","0.38","12.7 %","8.5 %","4.2 %",".250","1.32",".281","77.4 %","77","91","","2.73","3.15","-0.42","","","1001997"
"Gary Nolan","5.62","2.23","2.52","0.77","15.3 %","6.1 %","9.3 %",".233","1.14",".259","76.1 %","85","92","","3.02","3.16","-0.15","","","1009616"
"Rube Benton","3.67","3.00","1.23","0.16","6.1 %","5.1 %","1.0 %",".262","1.35",".289","65.9 %","99","97","","3.28","3.17","0.11","","","1000857"
"Clyde Shoun","3.05","2.50","1.22","0.38","8.3 %","6.8 %","1.5 %",".246","1.21",".260","70.4 %","93","94","","3.14","3.20","-0.06","","","1011934"
"Jimmy Ring","2.55","2.99","0.85","0.16","6.9 %","8.1 %","-1.2 %",".250","1.27",".266","68.1 %","111","112","","3.16","3.22","-0.06","","","1010972"
"Ewell Blackwell","5.75","3.74","1.54","0.45","15.2 %","9.9 %","5.3 %",".232","1.29",".267","71.5 %","85","81","","3.32","3.22","0.10","","","1001013"
"Bruce Berenyi","7.13","4.99","1.43","0.31","18.1 %","12.7 %","5.5 %",".246","1.49",".303","69.8 %","107","89","","3.96","3.25","0.71","","","1000864"
"John Franco","6.26","3.58","1.75","0.46","16.7 %","9.6 %","7.2 %",".232","1.27",".273","78.6 %","65","86","","2.49","3.26","-0.78","","","874"
"Pedro Borbon","3.51","2.12","1.65","0.47","9.3 %","5.6 %","3.7 %",".269","1.29",".288","73.8 %","92","91","","3.32","3.28","0.05","","","1001195"
"Paul Derringer","3.65","1.69","2.16","0.40","9.7 %","4.5 %","5.2 %",".264","1.24",".285","68.7 %","91","85","","3.36","3.28","0.08","","","1003224"
"Jim O'Toole","5.78","3.04","1.90","0.66","15.2 %","8.0 %","7.2 %",".247","1.29",".280","70.9 %","94","88","","3.59","3.29","0.30","","","1009897"
"Norm Charlton","7.54","3.50","2.15","0.63","20.1 %","9.3 %","10.8 %",".230","1.25",".280","74.3 %","84","85","","3.14","3.30","-0.15","","","1002160"
"Carl Mays","2.02","1.71","1.18","0.13","5.4 %","4.6 %","0.8 %",".265","1.24",".278","66.8 %","87","88","","3.26","3.33","-0.07","","","1008313"
