"Name","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Eric Tipton","451","1754","21","198","137","18","11.9 %","6.8 %",".113",".285",".273",".364",".386",".360","118","2.6","37.6","-6.4","9.0","1013080"
"Mike McCormick","287","1123","6","128","77","12","5.9 %","6.3 %",".070",".295",".278",".324",".349",".316","90","1.9","-11.1","8.7","3.1","1008419"
"Ival Goodman","265","1019","13","113","90","10","9.8 %","9.9 %",".112",".277",".256",".332",".368",".328","99","1.5","0.3","-3.0","2.8","1004857"
"Dain Clay","433","1699","3","203","98","39","6.8 %","7.7 %",".055",".280",".258",".314",".312",".302","79","6.9","-33.7","7.7","2.6","1002326"
"Al Libke","254","968","9","73","95","6","8.0 %","11.6 %",".095",".299",".268",".329",".364",".331","97","0.7","-2.6","-8.8","1.9","1007595"
"Eddie Lukon","127","442","12","38","37","4","7.2 %","8.1 %",".155",".251",".251",".308",".406",".334","102","0.6","1.2","1.5","1.6","1007828"
"Gee Walker","460","1750","15","172","187","32","4.7 %","9.6 %",".084",".274",".252",".293",".336",".300","81","5.6","-32.8","-2.9","1.6","1013519"
"Max Marshall","329","1384","15","140","105","15","6.4 %","7.2 %",".093",".257",".245",".297",".339",".303","85","2.4","-21.0","-8.4","1.0","1008143"
"Estel Crabtree","153","396","2","32","37","1","9.6 %","5.1 %",".068",".291",".278",".352",".347",".339","105","0.0","2.3","-5.9","0.9","1002714"
"Johnny Rizzo","31","124","4","17","17","1","11.3 %","11.3 %",".164",".293",".282",".363",".445",".370","124","0.1","3.8","0.7","0.8","1011009"
"Hank Sauer","47","178","7","26","29","2","5.1 %","12.4 %",".154",".300",".290",".326",".444",".361","116","0.3","3.6","-1.9","0.8","1011459"
"Jimmy Ripple","70","233","5","25","29","1","9.4 %","3.9 %",".163",".254",".261",".339",".424",".351","112","0.1","3.7","-3.4","0.7","1010983"
"Harry Craft","271","1020","16","102","113","6","5.2 %","9.8 %",".104",".252",".238",".282",".343",".290","73","0.8","-31.2","6.2","0.5","1002718"
"Morrie Arnovich","62","226","0","17","21","1","5.8 %","4.4 %",".066",".299",".284",".326",".351",".313","87","0.1","-3.4","1.4","0.5","1000322"
"Max West","72","235","5","16","18","1","13.6 %","15.3 %",".139",".236",".213",".323",".351",".326","96","0.1","-0.9","-3.4","0.3","1013809"
"Jim Gleeson","111","379","3","50","36","7","12.4 %","8.4 %",".059",".248",".231",".338",".290",".309","85","1.2","-5.2","-4.4","0.2","1004773"
"Chucho Ramos","4","10","0","1","0","0","0.0 %","0.0 %",".100",".500",".500",".500",".600",".513","211","0.0","1.3","-0.2","0.2","1010676"
"Vince DiMaggio","2","5","0","2","0","0","20.0 %","0.0 %",".000",".250",".250",".400",".250",".331","99","0.0","0.0","0.0","0.0","1003312"
"Mike Dejan","12","19","0","1","2","0","15.8 %","15.8 %",".125",".231",".188",".316",".313",".299","78","0.0","-0.5","-0.1","0.0","1003149"
"Frank Secory","2","8","0","1","1","0","37.5 %","25.0 %",".000",".000",".000",".375",".000",".274","68","0.0","-0.3","-0.1","0.0","1011712"
"Ernie Koy","70","223","2","24","27","1","6.3 %","10.8 %",".102",".272",".248",".299",".350",".304","81","0.1","-4.7","-2.1","0.0","1007129"
"Jo-Jo White","24","95","0","9","5","0","10.5 %","7.4 %",".024",".256",".235",".316",".259",".284","69","-0.1","-3.5","0.4","0.0","1013881"
"Garland Lawing","2","3","0","0","0","0","0.0 %","66.7 %",".000",".000",".000",".000",".000",".000","-100","0.0","-0.7","0.0","-0.1","1007393"
"Tony Criscola","64","175","0","14","14","0","8.0 %","6.9 %",".045",".248",".229",".297",".274",".278","65","-0.1","-7.3","1.5","-0.1","1002772"
"Frankie Kelleher","47","140","3","14","12","0","12.9 %","14.3 %",".117",".175",".167",".275",".283",".276","69","-0.1","-4.8","-0.3","-0.1","1006771"
"Dick Sipek","82","170","0","14","13","0","5.3 %","8.8 %",".064",".270",".244",".302",".308",".295","74","-0.1","-5.4","-1.3","-0.2","1012013"
"Howie Moss","7","27","0","1","1","0","0.0 %","14.8 %",".000",".227",".192",".222",".192",".203","15","0.0","-2.5","-0.3","-0.2","1009249"
"Lee Gamble","38","46","0","12","0","0","0.0 %","2.2 %",".024",".146",".143",".143",".167",".141","-26","0.0","-7.0","-0.4","-0.6","1004472"
"Clyde Vollmer","21","68","1","3","5","2","2.9 %","11.8 %",".046",".125",".123",".149",".169",".154","-12","0.4","-8.0","0.3","-0.6","1013449"
"Lloyd Waner","55","175","0","17","6","0","4.6 %","0.0 %",".037",".256",".256",".291",".293",".277","63","-0.1","-7.5","-4.4","-0.7","1013596"
"Bob Usher","92","167","1","16","14","2","7.8 %","16.2 %",".066",".242",".204",".271",".270",".263","55","0.3","-8.0","-10.3","-1.4","1013303"
