"Name","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Paul Derringer","161","150","17","393","322","2615.1","3.65","1.69","0.40",".285","68.7 %","","","3.36","3.28","","45.6","1003224"
"Eppa Rixey","179","148","8","440","356","2890.2","2.05","1.88","0.22",".283","67.1 %","","","3.33","3.58","","41.7","1011008"
"Noodles Hahn","127","92","0","237","225","1987.1","4.08","1.70","0.12",".282","66.3 %","","","2.52","2.59","","38.6","1005205"
"Dolf Luque","154","152","10","395","319","2668.2","3.27","2.55","0.26",".274","68.7 %","","","3.09","3.48","","35.7","1007843"
"Jose Rijo","97","61","0","280","215","1478.0","7.62","2.76","0.62",".283","76.7 %","44.0 %","12.6 %","2.83","3.06","4.65","34.4","349"
"Joe Nuxhall","130","109","18","484","274","2169.1","5.35","2.93","0.82",".284","72.6 %","","","3.80","3.54","","33.6","1009665"
"Jim Maloney","134","81","4","289","258","1818.2","7.88","3.89","0.67",".267","75.3 %","","","3.16","3.09","","33.4","1008039"
"Bob Ewing","108","103","4","252","228","2020.1","3.94","2.29","0.11",".273","67.3 %","","","2.37","2.42","","32.5","1003880"
"Pete Donohue","127","110","11","316","256","1996.1","2.42","1.75","0.26",".294","65.1 %","","","3.73","3.52","","30.0","1003390"
"Bucky Walters","160","107","4","312","296","2355.2","3.36","3.08","0.42",".255","73.5 %","","","2.93","3.58","","28.2","1013583"
"Jim O'Toole","94","81","4","255","228","1561.0","5.78","3.04","0.66",".280","70.9 %","","","3.59","3.29","","27.6","1009897"
"Gary Nolan","110","67","0","245","242","1656.1","5.62","2.23","0.77",".259","76.1 %","","","3.02","3.16","","26.4","1009616"
"Johnny Vander Meer","116","116","1","313","278","2028.0","5.55","4.76","0.40",".263","72.7 %","","","3.41","3.57","","25.7","1013350"
"Ewell Blackwell","79","77","8","221","163","1281.1","5.75","3.74","0.45",".267","71.5 %","","","3.32","3.22","","25.5","1001013"
"Frank Dwyer","132","101","5","261","226","1983.2","1.46","2.22","0.35",".301","60.8 %","","","3.78","4.25","","24.3","1003607"
"Tony Mullane","163","124","9","316","285","2599.0","3.44","3.21","0.25",".268","59.0 %","","","3.15","3.60","","24.3","1009291"
"Mario Soto","100","92","4","297","224","1730.1","7.54","3.42","0.89",".253","73.3 %","","","3.47","3.53","","24.3","1012289"
"Aaron Harang","75","80","0","217","213","1343.0","7.54","2.37","1.24",".308","73.2 %","38.3 %","11.3 %","4.28","4.11","3.95","23.5","1451"
"Red Lucas","109","99","6","257","202","1768.2","2.06","1.55","0.42",".272","66.2 %","","","3.64","3.75","","23.1","1007808"
"Billy Rhines","97","79","1","204","180","1557.0","2.90","2.79","0.11",".286","58.3 %","","","3.27","3.56","","23.1","1010880"
"Johnny Cueto","92","63","0","213","213","1339.0","7.49","2.64","0.91",".271","76.9 %","45.1 %","10.0 %","3.21","3.81","3.83","21.6","6893"
