"Name","Pos","Inn","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","CPP","RPP","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def","playerid"
"Brandon Phillips","2B","13849.2","","-13","","12","51","50","3839","3150",".821","435","","","","104","","-7.5","58.2","24.7","75.4","7.5","99.1","791"
"Zack Cozart","SS","6207.2","","-5","","1","60","56","1630","1337",".820","352","","","","32","","-0.5","36.4","10.1","45.9","10.6","77.8","2616"
"Billy Hamilton","CF","4337.2","","","14","11","22","47","977","927",".949","281","","","","20","16.7","","36.4","3.1","56.2","17.1","63.6","10199"
"Ryan Hanigan","C","3599.1","8","","","1","","21","","","","","154","11.8","","29","","","","","","","50.6","4952"
"Jason LaRue","C","4217.2","4","","","4","","18","","","","","","","","","","","","","","","40.2","337"
"Tucker Barnhart","C","2588.0","14","","","7","","20","","","","","10","-0.9","","9","","","","","","","35.3","10200"
"Todd Frazier","3B","4472.0","","-1","","1","24","22","896","653",".729","175","","","","10","","-0.2","23.3","2.1","25.1","8.6","32.8","785"
"Paul Janish","SS","1956.1","","-2","","4","19","21","610","521",".854","76","","","","15","","-0.9","11.9","5.5","16.6","11.0","26.7","7412"
"David Ross","C","1832.2","8","","","-8","","4","","","","","24","2.5","","","","","","","","","26.2","1551"
"Scott Rolen","3B","2680.0","","0","","4","21","27","630","466",".740","90","","","","28","","-1.0","9.4","11.0","19.4","9.8","24.0","970"
"D'Angelo Jimenez","2B","2114.0","","-4","","-1","19","14","519","450",".867","70","","","","","","-1.5","11.4","4.8","14.7","10.1","18.3","1038"
"Ramon Hernandez","C","1841.0","-2","","","-1","","-14","","","","","93","4.5","","0","","","","","","","18.2","918"
"Devin Mesoraco","C","2731.0","-10","","","3","","-7","","","","","107","4.8","","3","","","","","","","18.2","5666"
"Drew Stubbs","CF","4034.2","","","8","-1","-7","0","980","912",".931","217","","","","14","14.3","","-2.5","-1.2","10.6","3.7","17.5","9328"
"Alex Gonzalez","SS","1460.0","","2","","0","2","4","403","337",".836","50","","","","-3","","1.9","10.6","-3.2","9.3","9.1","16.8","520"
"Ryan Freel","CF","1533.1","","","9","3","-7","5","444","375",".845","88","","","","","11.7","","-2.2","1.4","11.0","8.2","13.6","1207"
"Javier Valentin","C","1770.0","-1","","","-4","","-9","","","","","4","-0.7","","","","","","","","","13.5","759"
"Juan Castro","SS","695.2","","2","","1","12","15","135","115",".852","39","","","","","","1.4","5.9","2.2","9.5","19.3","13.1","315"
"Wily Mo Pena","CF","776.1","","","1","1","-2","0","236","185",".784","46","","","","","2.1","","10.0","-1.0","11.0","17.0","12.4","344"
"Ryan Freel","RF","705.2","","","7","0","8","15","214","167",".780","31","","","","","7.2","","9.4","-0.9","15.7","26.1","12.0","1207"
"Eugenio Suarez","3B","2611.2","","1","","1","3","6","586","415",".708","92","","","","-7","","0.4","5.8","0.3","6.5","3.4","11.0","12552"
"Willy Taveras","CF","839.0","","","3","-1","1","3","217","201",".926","65","","","","-7","4.3","","4.6","0.0","9.0","15.0","10.4","1876"
"Chris Dickerson","CF","253.0","","","-1","0","6","5","61","60",".984","18","","","","0","1.4","","7.3","0.3","9.1","48.8","9.5","7095"
"Corky Miller","C","945.0","0","","","2","","4","","","","","16","1.3","","1","","","","","","","9.4","342"
"Chris Heisey","LF","1583.2","","","-4","-3","15","8","254","233",".917","125","","","","5","-1.8","","17.6","0.3","16.0","13.1","7.8","3978"
"Juan Castro","2B","594.2","","-1","","0","14","13","124","113",".911","39","","","","","","-0.9","7.7","-0.4","6.5","14.9","7.5","315"
"Orlando Cabrera","SS","1030.2","","0","","-2","1","-1","282","232",".823","29","","","","-8","","1.0","-2.1","3.1","1.9","2.8","7.2","766"
"Paul Bako","C","770.2","-2","","","0","","-4","","","","","41","2.3","","","","","","","","","6.9","676"
"Chris Denorfia","RF","134.2","","","2","0","4","6","41","39",".951","4","","","","","1.8","","5.3","0.3","7.4","67.5","6.7","4400"
"Miguel Cairo","2B","155.1","","0","","-1","5","4","50","45",".900","6","","","","-1","","0.1","5.1","0.5","5.7","47.3","6.0","1412"
"Aaron Boone","3B","1993.0","","0","","0","3","2","190","129",".679","22","","","","","","-0.3","4.8","-1.9","2.5","1.7","6.0","311"
"Austin Kearns","RF","3283.1","","","4","3","8","15","793","584",".736","60","","","","","6.1","","13.9","2.5","22.4","8.2","5.5","332"
"Laynce Nix","LF","827.0","","","4","-2","13","15","128","123",".961","47","","","","2","1.2","","7.6","1.0","9.8","16.6","5.5","1766"
"Chris Heisey","RF","480.2","","","0","1","10","11","76","70",".921","37","","","","0","-0.8","","8.4","0.0","7.7","22.9","5.2","3978"
"Norris Hopper","LF","149.1","","","0","0","1","1","32","31",".969","12","","","","","1.6","","3.7","0.3","5.6","42.5","4.8","2450"
"Darren Bragg","CF","108.2","","","1","0","3","4","28","26",".929","4","","","","","0.3","","4.4","-0.1","4.6","47.2","4.8","83"
"Chris Heisey","CF","683.1","","","0","2","-3","-1","158","148",".937","41","","","","-1","-1.4","","4.4","0.6","3.6","6.5","4.8","3978"
"Kelly Stinnett","C","655.2","-1","","","0","","-2","","","","","","","","","","","","","","","4.6","356"
"Rich Aurilia","2B","588.1","","0","","1","0","1","153","134",".876","23","","","","","","0.1","3.8","-0.3","3.6","8.8","4.6","1106"
"Jason Ellison","RF","82.0","","","1","0","2","3","21","20",".952","6","","","","","1.0","","3.7","0.2","4.9","86.1","4.5","1704"
"Brayan Pena","C","1131.2","-5","","","-1","","-1","","","","","11","-0.3","","-5","","","","","","","4.4","3231"
"Darren Bragg","RF","71.0","","","1","0","1","2","27","16",".593","1","","","","","1.6","","3.0","0.1","4.7","107.1","4.3","83"
"Adam Duvall","LF","2570.2","","","7","2","14","23","425","399",".939","162","","","","2","6.2","","13.1","-1.8","17.4","8.9","4.2","10950"
