"Name","Pos","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","playerid"
"Cesar Geronimo","OF","1148","850","8218.1","2593","71","29","","","18","","","","","","","","",".989","61","1004639"
"Pop Corkhill","OF","644","","","1264","145","88","","","28","","","","","","","","",".941","57","1002629"
"George Foster","OF","1320","1139","10224.2","2569","76","33","","","17","","","","","","","","",".988","55","1004250"
"Pete Rose","OF","1273","1245","11154.1","2485","96","21","","","15","","","","","","","","",".992","50","1011217"
"Reggie Sanders","OF","833","759","6685.0","1682","54","38","","","11","","","","","","","","",".979","47","1129"
"Frank Robinson","OF","1331","1244","11067.1","2529","87","38","","","17","","","","","","","","",".986","44","1011066"
"Paul O'Neill","OF","724","664","5926.1","1398","53","17","","","5","","","","","","","","",".988","38","1009818"
"Ival Goodman","OF","904","","","1876","76","51","","","13","","","","","","","","",".975","36","1004857"
"Eddie Milner","OF","659","520","4852.0","1565","46","22","","","7","","","","","","","","",".987","36","1008964"
"Curt Walker","OF","923","","","2014","87","73","","","31","","","","","","","","",".966","30","1013510"
"Mike Cameron","OF","146","142","1260.2","372","7","8","","","3","","","","","","","","",".979","24","1070"
"Charley Jones","OF","482","","","884","76","125","","","10","","","","","","","","",".885","23","1006535"
"Cy Seymour","OF","554","","","1314","79","94","","","24","","","","","","","","",".937","22","1011777"
"Bobby Tolan","OF","592","559","4990.1","1386","30","32","","","7","","","","","","","","",".978","22","1013100"
"Harry Craft","OF","552","","","1394","46","21","","","13","","","","","","","","",".986","21","1002718"
"Greasy Neale","OF","720","","","1553","87","45","","","22","","","","","","","","",".973","21","1009474"
"Fred Odwell","OF","393","","","780","55","31","","","13","","","","","","","","",".964","20","1009735"
"Tommy Harper","OF","670","569","5170.0","1121","27","12","","","6","","","","","","","","",".990","18","1005383"
"Mike Mitchell","OF","842","","","1508","135","68","","","34","","","","","","","","",".960","18","1009007"
"Joe Sommer","OF","174","","","359","20","47","","","3","","","","","","","","",".890","17","1012275"
"Mike McCormick","OF","271","","","665","21","12","","","5","","","","","","","","",".983","16","1008419"
"Jeffrey Hammonds","OF","145","78","788.0","221","8","1","","","3","","","","","","","","",".996","14","687"
"Eddie Burke","OF","287","","","661","34","52","","","10","","","","","","","","",".930","14","1001678"
"George Burns","OF","400","","","881","44","31","","","10","","","","","","","","",".968","14","1001708"
"Joe Adcock","OF","267","","","587","19","13","","","6","","","","","","","","",".979","13","1000067"
