"Name","Pos","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ","playerid"
"Bid McPhee","2B","2126","","","6545","6905","791","","","1186","","","","","","","","",".945","155","1008675"
"Johnny Bench","C","1742","1627","14488.1","9249","850","97","","","127","","","","","610","469","94","446",".991","97","1000826"
"Germany Smith","SS","781","","","1420","2933","378","","","342","","","","","","","","",".920","93","1012143"
"Lonny Frey","2B","889","","","2216","2803","132","","","607","","","","","","","","",".974","90","1004343"
"Hughie Critz","2B","795","","","1760","2864","135","","","543","","","","","","","","",".972","74","1002780"
"Roy McMillan","SS","1302","603","5244.0","2478","3948","193","","","868","","","","","","","","",".971","66","1008643"
"Cesar Geronimo","CF","1031","781","7481.1","2428","60","27","","","17","","","","","","","","",".989","61","1004639"
"Frank McCormick","1B","1206","","","11756","840","69","","","1059","","","","","","","","",".995","55","1008413"
"Pete Rose","LF","644","624","5635.1","1282","47","11","","","5","","","","","","","","",".992","52","1011217"
"Dave Concepcion","SS","2178","2066","18379.2","3670","6594","311","","","1290","","","","","","","","",".971","49","1002494"
"Eddie Miller","SS","697","","","1466","2289","108","","","466","","","","","","","","",".972","49","1008892"
"Reggie Sanders","RF","586","556","4930.2","1191","40","25","","","7","","","","","","","","",".980","48","1129"
"Pokey Reese","2B","341","324","2820.2","729","973","26","","","212","","","","","","","","",".985","44","1004"
"Frank Robinson","LF","697","631","5670.2","1287","51","25","","","8","","","","","","","","",".982","40","1011066"
"George Foster","LF","882","804","7252.1","1719","54","21","","","9","","","","","","","","",".988","39","1004250"
"Ed Bailey","C","652","552","4903.2","2957","286","43","","","40","","","","","126","121","28","92",".987","38","1000421"
"Ollie Beard","SS","254","","","359","956","152","","","106","","","","","","","","",".896","37","1000719"
"Hod Ford","SS","565","","","1210","1749","117","","","432","","","","","","","","",".962","37","1004221"
"Barry Larkin","SS","2084","2054","17553.0","3146","5853","235","19","6","1074","87","58","14","","","","","",".975","36","335"
"Paul O'Neill","RF","685","632","5663.2","1323","52","15","","","5","","","","","","","","",".989","36","1009818"
"Jim Keenan","C","320","","","1545","444","128","","","37","","","","","","","190","",".940","34","1006749"
"Pop Snyder","C","271","","","1351","435","183","","","19","","","","","","","218","",".907","32","1012254"
"Babe Pinelli","3B","579","","","676","1298","106","","","84","","","","","","","","",".949","31","1010355"
"Sam Bohne","2B","341","","","801","1144","68","","","173","","","","","","","","",".966","29","1001130"
"Billy Myers","SS","693","","","1364","2160","202","","","463","","","","","","","","",".946","28","1009418"
"Buck Herzog","SS","355","","","877","1190","132","","","178","","","","","","","","",".940","27","1005745"
"Eddie Milner","CF","550","446","4169.0","1400","39","20","","","7","","","","","","","","",".986","27","1008964"
"Morrie Rath","2B","264","","","655","851","38","","","119","","","","","","","","",".975","27","1010709"
"Woody Williams","2B","300","","","704","973","50","","","163","","","","","","","","",".971","27","1014045"
