"Season","Team","1B as L","1B as R","2B as L","2B as R","3B as L","3B as R","HR as L","HR as R"
"2015","Reds","99","100","96","100","94","91","112","114"
"2014","Reds","99","100","96","100","94","91","112","114"
"2013","Reds","99","100","96","100","94","91","112","114"
"2012","Reds","98","100","95","98","97","99","112","114"
"2011","Reds","99","99","98","98","95","100","110","114"
"2010","Reds","100","99","97","97","96","103","108","114"
"2009","Reds","99","98","99","99","90","102","106","113"
"2008","Reds","100","98","101","99","89","98","108","111"
"2007","Reds","101","97","101","102","88","91","110","111"
"2006","Reds","100","97","98","101","84","85","108","110"
"2005","Reds","99","97","99","101","75","80","109","109"
"2004","Reds","99","97","99","101","75","80","109","109"
"2003","Reds","99","97","99","101","75","80","109","109"
"2002","Reds","99","102","112","108","89","79","107","114"
