"Season","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"1871","2296","11215","47","2659","1783","441","3.5 %","1.6 %",".097",".288",".287",".312",".384",".312","98","0.0","-41.4","0.6","30.1"
"1872","3307","15926","35","3390","2103","254","1.6 %","1.6 %",".061",".289",".286",".297",".347",".297","97","0.0","-119.3","-22.5","43.3"
"1873","3603","17296","46","3580","2339","175","1.9 %","1.4 %",".065",".292",".290",".303",".355",".303","97","0.0","-116.1","22.8","47.1"
"1874","4199","19340","40","3470","2249","226","1.2 %","1.8 %",".060",".277",".274",".282",".333",".282","97","0.0","-115.9","12.0","54.7"
"1875","6249","27082","40","4234","2710","629","0.9 %","2.5 %",".056",".259",".254",".261",".310",".261","99","0.0","-42.8","5.9","81.3"
"1876","4696","20457","40","3066","1984","","1.6 %","2.9 %",".055",".272",".265",".277",".321",".277","98","0.0","-63.6","6.6","61.3"
"1877","3247","14012","24","2040","1410","","2.5 %","5.2 %",".067",".285",".271",".289",".338",".289","99","0.0","-30.2","0.5","42.3"
"1878","3319","14008","23","1904","1331","","2.6 %","7.7 %",".060",".280",".259",".279",".319",".279","99","0.0","-25.6","7.2","43.2"
"1879","5795","24663","58","3409","2357","","2.1 %","7.5 %",".073",".275",".255",".271",".329",".271","99","0.0","-31.9","12.3","75.4"
"1880","6157","25041","62","3191","2222","","3.0 %","8.0 %",".075",".264",".245",".267",".320",".267","98","0.0","-74.2","-8.5","79.8"
"1881","6084","25410","76","3426","2488","","4.1 %","7.0 %",".078",".278",".260",".290",".338",".290","96","0.0","-139.4","-7.2","78.9"
"1882","10303","43230","178","6095","3326","","3.7 %","8.4 %",".082",".271",".248",".276",".330",".276","98","0.0","-106.4","-4.9","134.2"
"1883","14224","59998","238","9030","4522","","3.9 %","9.5 %",".088",".288",".257",".286",".345",".286","98","0.0","-195.8","-11.8","184.5"
"1884","27830","114727","690","16742","4897","","4.3 %","12.6 %",".084",".276",".243",".279",".327",".279","97","0.0","-548.7","10.0","361.3"
"1885","16120","66585","323","9292","6488","","5.3 %","10.1 %",".081",".266",".244",".288",".325",".288","98","0.0","-220.5","9.2","208.9"
"1886","19018","78790","413","11512","8239","3243","7.0 %","11.7 %",".085",".281",".246",".303",".332",".303","97","0.0","-370.4","56.7","246.6"
"1887","19156","81533","606","13414","10393","6345","7.4 %","7.3 %",".103",".283",".271",".332",".374",".332","97","0.0","-442.1","86.4","248.3"
"1888","19744","80990","521","10628","8036","5260","5.8 %","10.0 %",".081",".260",".239",".291",".320",".291","95","0.0","-559.8","38.9","255.8"
"1889","19980","84553","667","12986","10229","4816","8.7 %","9.1 %",".094",".285",".263",".333",".357",".333","95","0.0","-646.7","136.6","255.5"
"1890","29457","126057","760","19330","14703","6854","9.3 %","7.7 %",".091",".283",".260",".337",".351",".337","96","0.0","-715.5","216.1","377.6"
"1891","20582","86833","586","12667","9994","4172","9.3 %","8.8 %",".089",".276",".254",".332",".343",".332","95","0.0","-660.9","105.8","260.8"
"1892","16963","70615","417","9388","7360","3201","8.7 %","8.4 %",".083",".265",".245",".317",".327",".317","95","0.0","-470.4","94.5","215.5"
"1893","14660","63680","460","10315","8556","2752","9.6 %","5.2 %",".100",".291",".280",".356",".379",".356","96","0.0","-412.5","78.4","184.4"
"1894","14887","63552","627","11678","9887","3113","9.1 %","5.2 %",".126",".320",".309",".379",".435",".379","96","0.0","-523.1","155.8","186.1"
"1895","14983","63338","484","10482","8779","2888","8.1 %","5.7 %",".103",".310",".296",".361",".400",".361","96","0.0","-381.5","76.4","186.6"
"1896","14964","62224","404","9555","8041","3057","7.8 %","5.7 %",".097",".305",".290",".354",".387",".354","96","0.0","-423.7","107.6","186.1"
"1897","15226","63130","367","9520","7998","2696","7.5 %","",".095","",".292",".354",".386",".354","96","0.0","-405.0","126.3","189.0"
"1898","17284","69964","299","9129","7630","2069","7.3 %","",".076","",".271",".334",".347",".334","95","0.0","-447.9","123.0","215.9"
"1899","17391","69871","350","9647","7980","2666","7.1 %","",".084","",".282",".343",".366",".343","95","0.0","-521.4","176.3","215.8"
"1900","10872","43485","254","5932","4924","1686","7.0 %","",".087","",".279",".339",".366",".339","95","0.0","-323.6","116.8","133.3"
"1901","20868","85072","455","11073","9136","2851","6.4 %","",".088","",".272",".327",".360",".327","95","0.0","-612.3","218.7","260.3"
"1902","20914","84136","356","9879","8245","2678","6.5 %","",".077","",".267",".322",".344",".322","94","0.0","-610.6","163.7","261.0"
"1903","21128","83556","335","9888","8144","2735","6.4 %","",".084","",".262",".317",".346",".317","94","0.0","-630.7","241.3","261.3"
"1904","23562","91064","331","9302","7590","2780","6.1 %","",".075","",".247",".301",".321",".301","95","0.0","-524.7","152.2","292.7"
"1905","23753","91355","338","9636","7936","2933","6.8 %","",".075","",".248",".307",".323",".307","94","0.0","-603.9","228.4","290.2"
"1906","23854","89656","261","8873","7256","2996","6.9 %","",".068","",".247",".306",".314",".306","94","0.0","-548.4","198.3","287.6"
"1907","24275","89725","244","8692","7075","2777","6.8 %","",".064","",".245",".305",".309",".305","94","0.0","-534.0","210.4","289.0"
"1908","25137","90541","267","8417","6822","2733","6.5 %","",".066","",".239",".297",".305",".297","94","0.0","-518.8","203.1","291.9"
"1909","25278","90997","259","8794","7125","3052","7.1 %","",".067","",".244",".306",".311",".306","94","0.0","-561.9","293.9","290.6"
"1910","25816","92773","361","9575","7858","3265","8.0 %","9.5 %",".076",".283",".249",".318",".326",".318","95","0.0","-546.9","255.8","292.6"
"1911","26079","93827","514","11161","9318","3403","8.4 %","10.2 %",".091",".288",".266",".336",".357",".336","94","0.0","-727.8","388.1","290.1"
"1912","25999","93204","442","11165","9345","3385","8.2 %","9.9 %",".090",".302",".269",".337",".359",".337","95","0.0","-646.6","335.7","288.7"
"1913","27032","91726","470","9960","8349","3250","7.9 %","10.1 %",".086",".288",".259",".325",".345",".325","94","0.0","-683.1","355.1","289.1"
"1914","40881","138909","710","14530","12223","4573","8.0 %","10.6 %",".083",".284",".254",".321",".337",".321","93","0.0","-1028.7","483.7","440.4"
"1915","40218","138280","635","14213","11981","4106","8.0 %","10.1 %",".082",".279",".250",".318",".332",".318","95","0.0","-824.9","400.9","437.2"
"1916","27710","92468","383","8889","7518","2753","7.7 %","10.3 %",".078",".276",".248",".312",".326",".312","94","0.0","-578.8","286.8","292.0"
"1917","27069","92623","335","8950","7557","2413","7.5 %","9.4 %",".075",".275",".249",".311",".324",".311","94","0.0","-549.8","230.6","292.2"
"1918","21134","75971","235","7382","6199","1989","7.6 %","7.8 %",".071",".276",".254",".317",".325",".317","94","0.0","-432.3","160.3","238.0"
"1919","23701","83902","447","8668","7424","2077","7.1 %","8.2 %",".085",".285",".263",".322",".348",".322","94","0.0","-547.7","256.1","261.9"
"1920","26426","94601","630","10762","9342","1720","7.2 %","7.7 %",".095",".297",".276",".335",".372",".335","94","0.0","-642.3","337.8","289.4"
"1921","26867","95556","937","11928","10710","1487","7.2 %","7.3 %",".112",".309",".291",".348",".403",".348","94","0.0","-760.2","422.8","288.1"
"1922","27246","96155","1055","12057","10787","1451","7.5 %","7.2 %",".113",".305",".288",".348",".401",".348","93","0.0","-846.3","514.4","291.1"
"1923","27491","96130","980","11872","10668","1567","7.9 %","7.3 %",".107",".301",".284",".347",".391",".347","94","0.0","-767.6","466.9","288.9"
"1924","27577","95288","896","11716","10605","1501","7.7 %","7.0 %",".108",".303",".287",".348",".394",".348","94","0.0","-699.2","382.5","288.8"
"1925","27936","96226","1169","12593","11422","1388","8.0 %","6.9 %",".119",".306",".292",".354",".411",".354","94","0.0","-846.6","525.2","288.3"
"1926","28214","95139","863","11443","10448","1275","8.1 %","7.1 %",".108",".297",".281",".345",".389",".345","94","0.0","-770.9","504.7","289.5"
"1927","27912","95571","922","11748","10758","1437","7.8 %","7.2 %",".109",".301",".284",".345",".393",".345","94","0.0","-776.3","486.8","290.1"
