"Season","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","ERA-"
"1876","257","257","13","570","520","4739.1","1.12","0.64","0.08",".293","46.5 %","","","2.31","2.31","","45.5","100"
"1877","177","177","4","395","360","3241.0","2.02","0.96","0.07",".304","50.1 %","","","2.81","2.81","","31.3","102"
"1878","180","180","1","385","368","3324.0","2.93","0.99","0.06",".298","51.6 %","","","2.30","2.30","","31.9","101"
"1879","316","316","2","676","642","5797.0","2.86","0.79","0.09",".296","49.6 %","","","2.50","2.50","","55.9","102"
"1880","332","332","12","756","680","6031.1","2.97","1.10","0.09",".282","53.0 %","","","2.37","2.37","","58.7","99"
"1881","334","334","3","714","672","5987.1","2.68","1.55","0.11",".293","54.3 %","","","2.77","2.77","","59.1","99"
"1882","334","334","1","710","676","6041.2","3.22","1.43","0.19",".291","50.3 %","","","2.89","2.80","","59.1","100"
"1883","389","389","11","866","790","6956.1","3.72","1.45","0.16",".309","48.7 %","","","3.14","3.14","","67.5","101"
"1884","446","446","6","965","912","8046.0","4.85","2.04","0.36",".297","51.5 %","","","2.97","3.39","","78.8","100"
"1885","442","442","7","918","890","7803.0","3.85","2.13","0.20",".282","54.4 %","","","2.82","3.02","","79.1","100"
"1886","477","477","6","1034","984","8523.0","4.56","2.52","0.26",".296","54.2 %","","","3.29","3.31","","85.0","100"
"1887","492","492","8","1068","1016","8874.1","2.88","2.77","0.39",".294","53.5 %","","","4.05","4.12","","85.0","101"
"1888","530","530","6","1124","1084","9556.0","3.77","1.97","0.31",".273","59.0 %","","","2.83","2.93","","90.0","100"
"1889","518","518","15","1186","1062","9307.0","3.39","3.49","0.36",".296","57.4 %","","","4.02","4.01","","93.3","100"
"1890","531","531","10","1177","1078","9492.1","3.51","3.58","0.24",".286","56.6 %","","","3.56","3.73","","98.0","101"
"1891","545","545","26","1268","1104","9760.2","3.36","3.50","0.27",".286","57.1 %","","","3.34","3.49","","95.3","100"
"1892","898","898","24","2059","1836","16106.2","3.33","3.45","0.23",".278","58.6 %","","","3.28","3.28","","158.9","100"
"1893","773","773","32","1863","1570","13864.1","2.17","3.99","0.30",".302","54.9 %","","","4.66","4.65","","136.8","100"
"1894","781","781","35","1912","1584","13731.1","2.17","3.81","0.41",".325","52.2 %","","","5.31","5.31","","138.2","100"
"1895","781","781","45","1916","1588","13753.1","2.36","3.34","0.32",".316","53.8 %","","","4.78","4.77","","138.2","100"
"1896","778","778","28","1885","1584","13762.0","2.30","3.17","0.26",".308","56.1 %","","","4.36","4.35","","137.7","100"
"1897","782","782","26","1878","1610","13968.1","2.40","3.04","0.24",".311","58.0 %","","","4.31","4.14","","138.4","100"
"1898","895","895","17","2086","1840","15954.2","2.40","2.87","0.17",".290","61.3 %","","","3.60","3.44","","158.4","100"
"1899","900","900","32","2108","1838","15846.1","2.19","2.82","0.20",".298","60.4 %","","","3.85","3.68","","159.3","100"
"1900","553","553","12","1356","1136","9914.0","2.45","2.75","0.23",".297","60.6 %","","","3.70","3.53","","97.9","100"
"1901","554","554","17","1278","1122","9976.2","3.83","2.42","0.20",".299","63.1 %","","","3.32","3.18","","99.0","100"
"1902","548","548","21","1253","1122","9959.2","3.52","2.37","0.09",".288","65.9 %","","","2.78","2.80","","99.9","99"
"1903","551","551","30","1295","1120","9859.0","3.44","2.90","0.14",".295","62.1 %","","","3.26","3.16","","97.8","100"
"1904","611","611","30","1403","1244","10914.1","3.53","2.58","0.14",".275","65.7 %","","","2.73","2.70","","107.7","100"
"1905","612","612","35","1502","1240","11002.0","3.65","2.67","0.15",".280","65.3 %","","","2.99","2.82","","108.9","100"
"1906","606","606","53","1529","1228","10841.2","3.77","2.84","0.10",".269","68.5 %","","","2.62","2.63","","106.9","100"
"1907","603","603","37","1572","1232","10818.2","3.51","2.85","0.12",".264","69.7 %","","","2.46","2.52","","105.8","100"
"1908","616","616","62","1736","1244","11165.2","3.37","2.60","0.12",".255","69.7 %","","","2.35","2.39","","107.7","100"
"1909","611","611","64","1805","1241","11184.1","3.57","2.91","0.12",".265","68.3 %","","","2.59","2.57","","109.5","100"
"1910","614","614","83","1959","1242","11092.1","3.66","3.26","0.17",".276","67.5 %","","","3.02","2.85","","105.8","100"
"1911","608","608","89","1989","1246","11105.2","3.88","3.47","0.26",".280","66.0 %","","","3.39","3.43","","106.7","100"
"1912","608","608","75","1997","1224","10946.2","3.80","3.19","0.24",".293","64.9 %","","","3.40","3.41","","106.8","100"
"1913","604","604","81","2057","1238","11127.2","3.72","2.86","0.25",".282","66.8 %","","","3.20","3.04","","110.9","99"
"1914","615","615","82","2014","1250","11165.2","3.79","2.90","0.22",".271","68.1 %","","","2.78","2.87","","108.6","99"
"1915","611","611","78","2015","1252","11166.2","3.81","2.63","0.18",".270","68.7 %","","","2.74","2.70","","108.4","100"
"1916","612","612","82","2045","1244","11222.1","3.87","2.42","0.19",".265","69.9 %","","","2.61","2.62","","108.4","100"
"1917","612","612","62","2004","1250","11273.2","3.59","2.44","0.16",".265","69.0 %","","","2.70","2.58","","109.3","100"
"1918","504","504","44","1475","1016","9173.0","2.84","2.47","0.14",".264","68.7 %","","","2.76","2.69","","89.4","100"
"1919","556","556","51","1737","1116","10064.2","2.95","2.34","0.19",".268","69.0 %","","","2.91","2.95","","99.6","99"
"1920","614","614","76","2000","1234","11225.1","2.92","2.42","0.21",".280","68.3 %","","","3.13","3.28","","109.4","100"
"1921","612","612","92","2151","1224","10982.2","2.75","2.36","0.38",".294","66.2 %","","","3.78","3.89","","107.9","100"
"1922","615","615","68","2271","1245","11035.1","2.74","2.80","0.43",".297","64.9 %","","","4.10","4.03","","107.6","100"
"1923","615","615","74","2217","1234","11076.1","2.77","2.84","0.44",".292","65.8 %","","","3.99","3.97","","109.8","100"
"1924","612","612","66","2172","1228","10993.2","2.77","2.62","0.41",".289","66.9 %","","","3.87","3.95","","109.4","100"
"1925","612","612","67","2187","1225","10857.2","2.79","2.86","0.53",".297","65.3 %","","","4.27","4.26","","108.8","100"
"1926","611","611","84","2252","1236","10968.0","2.76","2.85","0.36",".285","66.3 %","","","3.82","3.83","","108.5","100"
"1927","614","614","81","2204","1235","11007.2","2.86","2.79","0.39",".287","66.6 %","","","3.91","3.95","","109.1","100"
"1928","612","612","105","2325","1228","11027.1","2.77","3.13","0.50",".283","67.6 %","","","3.98","4.11","","107.4","100"
