Season,Team,Basic,1B,2B,3B,HR,SO,BB,GB,FB,LD,IFFB,FIP
2017,Reds,101,99,98,92,113,103,101,99,100,99,101,102
2016,Reds,101,99,98,92,113,103,101,99,100,99,101,102
2015,Reds,101,99,98,92,113,103,101,99,100,99,101,102
2014,Reds,101,99,98,92,113,103,101,99,100,99,101,103
2013,Reds,102,99,98,92,113,103,101,99,100,99,101,103
2012,Reds,101,99,97,98,113,103,100,99,100,98,102,103
2011,Reds,101,99,98,98,112,102,100,99,100,99,102,103
2010,Reds,102,99,97,100,111,101,100,99,101,98,102,103
2009,Reds,102,99,99,97,110,101,100,99,102,97,103,103
2008,Reds,103,99,100,94,110,101,101,99,102,97,101,103
2007,Reds,104,99,102,90,111,101,101,99,102,99,99,104
2006,Reds,102,98,100,85,109,100,99,99,102,98,102,103
2005,Reds,101,98,100,78,109,100,99,98,102,100,103,103
2004,Reds,101,98,100,78,109,100,99,98,102,100,103,103
2003,Reds,101,98,100,78,109,100,99,98,102,100,103,103
2002,Reds,102,99,105,87,105,99,103,99,101,103,106,103
2001,Reds,102,99,105,87,105,99,103,,,,,103
2000,Reds,102,99,105,87,105,99,103,,,,,103
1999,Reds,101,98,104,92,103,99,103,,,,,102
1998,Reds,102,97,104,99,102,99,104,,,,,102
1997,Reds,100,97,103,98,100,98,104,,,,,101
1996,Reds,100,97,104,99,98,98,104,,,,,101
1995,Reds,100,98,103,94,99,98,103,,,,,101
1994,Reds,100,97,101,93,100,98,103,,,,,101
1993,Reds,101,98,103,92,105,98,104,,,,,103
1992,Reds,102,97,101,90,110,98,104,,,,,104
1991,Reds,102,98,102,90,111,98,104,,,,,104
1990,Reds,103,99,103,94,115,99,103,,,,,105
1989,Reds,104,99,105,95,112,98,103,,,,,105
1988,Reds,103,100,105,97,110,98,101,,,,,104
1987,Reds,104,101,109,106,106,98,101,,,,,102
1986,Reds,104,101,107,102,108,99,102,,,,,103
1985,Reds,104,100,109,104,103,98,103,,,,,102
1984,Reds,104,101,110,108,101,98,103,,,,,102
1983,Reds,104,101,110,107,99,98,103,,,,,101
1982,Reds,103,98,108,104,104,99,103,,,,,102
1981,Reds,101,97,108,103,103,98,101,,,,,101
1980,Reds,101,97,107,101,105,98,99,,,,,101
1979,Reds,100,96,106,100,105,99,100,,,,,101
1978,Reds,101,96,106,100,104,99,99,,,,,101
1977,Reds,101,97,106,101,102,99,99,,,,,100
1976,Reds,101,97,106,106,101,100,99,,,,,100
1975,Reds,99,97,106,106,101,100,99,,,,,100
1974,Reds,97,97,106,106,101,100,99,,,,,100
1973,Reds,96,,,,,,,,,,,
1972,Reds,96,,,,,,,,,,,
1971,Reds,96,,,,,,,,,,,
1970,Reds,96,,,,,,,,,,,
1969,Reds,107,,,,,,,,,,,
1968,Reds,107,,,,,,,,,,,
1967,Reds,107,,,,,,,,,,,
1966,Reds,107,,,,,,,,,,,
1965,Reds,106,,,,,,,,,,,
1964,Reds,104,,,,,,,,,,,
1963,Reds,102,,,,,,,,,,,
1962,Reds,101,,,,,,,,,,,
1961,Reds,102,,,,,,,,,,,
1960,Reds,102,,,,,,,,,,,
1959,Redlegs,104,,,,,,,,,,,
1958,Redlegs,104,,,,,,,,,,,
1957,Redlegs,105,,,,,,,,,,,
1956,Redlegs,105,,,,,,,,,,,
1955,Redlegs,104,,,,,,,,,,,
1954,Redlegs,103,,,,,,,,,,,
1953,Reds,102,,,,,,,,,,,
1952,Reds,102,,,,,,,,,,,
1951,Reds,100,,,,,,,,,,,
1950,Reds,101,,,,,,,,,,,
1949,Reds,100,,,,,,,,,,,
1948,Reds,100,,,,,,,,,,,
1947,Reds,98,,,,,,,,,,,
1946,Reds,97,,,,,,,,,,,
1945,Reds,96,,,,,,,,,,,
1944,Reds,98,,,,,,,,,,,
1943,Reds,97,,,,,,,,,,,
1942,Reds,97,,,,,,,,,,,
1941,Reds,99,,,,,,,,,,,
1940,Reds,98,,,,,,,,,,,
1939,Reds,97,,,,,,,,,,,
1938,Reds,97,,,,,,,,,,,
1937,Reds,96,,,,,,,,,,,
1936,Reds,97,,,,,,,,,,,
1935,Reds,97,,,,,,,,,,,
1934,Reds,98,,,,,,,,,,,
1933,Reds,98,,,,,,,,,,,
1932,Reds,97,,,,,,,,,,,
1931,Reds,96,,,,,,,,,,,
1930,Reds,96,,,,,,,,,,,
1929,Reds,96,,,,,,,,,,,
1928,Reds,95,,,,,,,,,,,
1927,Reds,96,,,,,,,,,,,
1926,Reds,96,,,,,,,,,,,
1925,Reds,96,,,,,,,,,,,
1924,Reds,95,,,,,,,,,,,
1923,Reds,96,,,,,,,,,,,
1922,Reds,95,,,,,,,,,,,
1921,Reds,96,,,,,,,,,,,
1920,Reds,96,,,,,,,,,,,
1919,Reds,96,,,,,,,,,,,
1918,Reds,97,,,,,,,,,,,
1917,Reds,99,,,,,,,,,,,
1916,Reds,100,,,,,,,,,,,
1915,Reds,101,,,,,,,,,,,
1914,Reds,101,,,,,,,,,,,
1913,Reds,101,,,,,,,,,,,
1912,Reds,101,,,,,,,,,,,
1911,Reds,98,,,,,,,,,,,
1910,Reds,98,,,,,,,,,,,
1909,Reds,98,,,,,,,,,,,
1908,Reds,102,,,,,,,,,,,
1907,Reds,102,,,,,,,,,,,
1906,Reds,106,,,,,,,,,,,
1905,Reds,107,,,,,,,,,,,
1904,Reds,109,,,,,,,,,,,
1903,Reds,109,,,,,,,,,,,
1902,Reds,109,,,,,,,,,,,
1901,Reds,101,,,,,,,,,,,
1900,Reds,101,,,,,,,,,,,
1899,Reds,101,,,,,,,,,,,
1898,Reds,102,,,,,,,,,,,
1897,Reds,105,,,,,,,,,,,
1896,Reds,103,,,,,,,,,,,
1895,Reds,103,,,,,,,,,,,
1894,Reds,103,,,,,,,,,,,
1893,Reds,100,,,,,,,,,,,
1892,Reds,100,,,,,,,,,,,
1891,Reds,100,,,,,,,,,,,
1890,Reds,100,,,,,,,,,,,
1889,Red Stockings,101,,,,,,,,,,,
1888,Red Stockings,102,,,,,,,,,,,
1887,Red Stockings,101,,,,,,,,,,,
1886,Red Stockings,101,,,,,,,,,,,
1885,Red Stockings,101,,,,,,,,,,,
1884,Red Stockings,101,,,,,,,,,,,
1883,Red Stockings,100,,,,,,,,,,,
1882,Red Stockings,100,,,,,,,,,,,
1881,Red Stockings,,,,,,,,,,,,
1880,Red Stockings,,,,,,,,,,,,
1879,Red Stockings,,,,,,,,,,,,
1878,Red Stockings,,,,,,,,,,,,
